var,layer,band,train_valid_frac,mean_ms,std_ms,min_ms,max_ms,p0.1_ms,p1_ms,p50_ms,p99_ms,p99.9_ms,inc_mean_ms,inc_std_ms,norm_clip_frac,norm_std,norm_p1_p99_width,val_pers_rmse_d1_ms,val_pers_rmse_d5_ms,val_pers_rmse_d10_ms,val_pers_rmse_d15_ms,val_pers_rmse_coastal_d1_ms,val_pers_rmse_coastal_d5_ms,val_pers_rmse_coastal_d10_ms,val_pers_rmse_coastal_d15_ms
v,12,middle,1,-0.00187506,0.0773933,-1.389,0.818141,-0.256491,-0.180844,-0.00380806,0.190119,0.274108,-3.79885e-06,0.0474216,0,0.0225391,-0.108035,0.0486708,0.0767586,0.0777035,0.0785838,0.0319796,0.0511657,0.0522726,0.0500822
v,13,middle,1,-0.00330587,0.0752811,-1.4608,0.841441,-0.260531,-0.174218,-0.00462765,0.186095,0.26554,-3.20947e-06,0.0471387,0,0.0219239,-0.104933,0.0485698,0.0759897,0.0766737,0.0771801,0.0323545,0.0518932,0.0529473,0.0504853
v,14,middle,1,-0.0045704,0.0754299,-1.55117,0.86111,-0.2805,-0.182739,-0.0052017,0.18685,0.262265,-2.55881e-06,0.047534,0,0.0219673,-0.107635,0.0491845,0.0769928,0.0773393,0.0777383,0.0328221,0.0529774,0.0540416,0.0513179
v,15,middle,1,-0.00561518,0.0785875,-1.63206,0.876456,-0.315176,-0.207744,-0.00555885,0.196129,0.273396,-1.94275e-06,0.0490947,0,0.0228868,-0.117619,0.0509409,0.0805098,0.0806766,0.0811448,0.0335625,0.0547022,0.0558896,0.0529679
v,16,middle,1,-0.00650633,0.0840397,-1.72838,0.889309,-0.36069,-0.236757,-0.00550082,0.209898,0.296164,-1.41056e-06,0.0517534,0,0.0244747,-0.130078,0.0536958,0.0856352,0.0858793,0.0864251,0.0347131,0.0571554,0.058614,0.0555833
v,17,middle,1,-0.00751373,0.0912597,-1.81525,0.900239,-0.41491,-0.267643,-0.00507779,0.225299,0.323331,-1.01725e-06,0.0552195,0,0.0265773,-0.143558,0.0571143,0.0914818,0.0920668,0.0927523,0.0363631,0.060321,0.0621963,0.0591405
v,18,middle,1,-0.00895054,0.0998756,-1.91593,0.908761,-0.475336,-0.303205,-0.00459082,0.240934,0.34913,-8.02385e-07,0.0592626,0,0.0290865,-0.158468,0.0611378,0.0978581,0.0991108,0.0999419,0.0384912,0.0641257,0.0665203,0.0634966
v,19,middle,1,-0.0110154,0.109206,-1.98249,0.915631,-0.533296,-0.344197,-0.00467142,0.255026,0.372277,-7.38681e-07,0.0637702,0,0.0318039,-0.17451,0.0658142,0.105041,0.107171,0.108165,0.0409489,0.0683626,0.071297,0.0683408
v,20,upper,1,-0.0136121,0.118571,-2.01177,0.921325,-0.582851,-0.383344,-0.00543,0.267843,0.39047,-7.60929e-07,0.0686495,0,0.034531,-0.189644,0.0708741,0.113174,0.116269,0.117511,0.0435361,0.0727673,0.0761987,0.0733312
v,21,upper,1,-0.0161489,0.127334,-2.00435,0.926445,-0.625312,-0.416408,-0.00636823,0.278552,0.404271,-8.18515e-07,0.0736339,0,0.0370832,-0.202391,0.0758243,0.121772,0.12587,0.127411,0.0460607,0.0770721,0.080932,0.0781494
v,22,upper,1,-0.0178486,0.134863,-1.98768,0.931396,-0.66444,-0.441144,-0.00662881,0.287909,0.41738,-8.83631e-07,0.0782687,0,0.0392759,-0.21232,0.0802477,0.129832,0.134871,0.13668,0.0483741,0.0810314,0.0852478,0.0825297
v,23,upper,1,-0.0184089,0.140789,-1.99222,0.936347,-0.692955,-0.458153,-0.00611002,0.295699,0.428281,-9.45371e-07,0.0821751,0,0.0410016,-0.219543,0.0839079,0.136511,0.142362,0.144329,0.0503995,0.0844952,0.0890062,0.0863322
v,24,upper,1,-0.0181284,0.145198,-2.01987,0.944031,-0.71562,-0.470192,-0.00512137,0.302708,0.438337,-1.00131e-06,0.0852482,0,0.0422857,-0.22509,0.0867917,0.141551,0.148042,0.150125,0.0521379,0.0874492,0.0922075,0.0895635
v,25,upper,1,-0.0175029,0.148499,-2.03877,0.962851,-0.731589,-0.478823,-0.00412701,0.308605,0.446543,-1.05548e-06,0.0876254,0,0.043247,-0.229321,0.089056,0.145241,0.152204,0.154404,0.0536562,0.0900028,0.094978,0.0923541
v,26,upper,1,-0.0168795,0.151184,-2.05458,0.990589,-0.742701,-0.485129,-0.00333892,0.313829,0.453487,-1.11345e-06,0.0895865,0,0.0440289,-0.232679,0.0909165,0.148113,0.155439,0.157734,0.0550762,0.0923613,0.0975433,0.0949304
v,27,upper,1,-0.0163777,0.153757,-2.07119,1.16267,-0.754063,-0.490492,-0.00274662,0.319441,0.460333,-1.18306e-06,0.0914935,0,0.0447784,-0.235875,0.0926502,0.150751,0.158414,0.160751,0.0565892,0.094847,0.100254,0.0976402
v,28,upper,1,-0.0159573,0.156977,-2.09368,1.24695,-0.766748,-0.496428,-0.00216606,0.326276,0.471448,-1.28185e-06,0.0939299,0,0.0457161,-0.239594,0.0947503,0.153974,0.16205,0.164349,0.058591,0.0981129,0.103821,0.101186
v,29,upper,1,-0.0156151,0.160798,-2.12055,1.31319,-0.78079,-0.503651,-0.00154114,0.334085,0.484405,-1.39913e-06,0.0968544,0,0.0468289,-0.243972,0.0972073,0.157762,0.166307,0.168503,0.061008,0.102039,0.108113,0.105432
